date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
10/19/2022,0.92120072,,
10/20/2022,0.92120048,,
10/21/2022,0.92120077,,
10/22/2022,0.92120077,,
10/23/2022,0.92120077,,
10/24/2022,0.92119960,,
10/25/2022,0.92120022,,
10/26/2022,0.92120193,,
10/27/2022,0.92120174,,
10/28/2022,0.92120219,,
10/29/2022,0.92120219,,
10/30/2022,0.92120219,,
10/31/2022,0.92120250,0.00037659,0.00753187
11/1/2022,0.92120257,,
11/2/2022,0.92082592,,
11/3/2022,0.92082619,,
11/4/2022,0.92082619,,
11/5/2022,0.92082619,,
11/6/2022,0.92082619,,
11/7/2022,0.92082637,,
11/8/2022,0.92082705,,
11/9/2022,0.92082698,,
11/10/2022,0.92082710,,
11/11/2022,0.92082710,,
11/12/2022,0.92082710,,
11/13/2022,0.92082710,,
11/14/2022,0.92082746,,
11/15/2022,0.92082746,,
11/16/2022,0.92082628,,
11/17/2022,0.92082628,,
11/18/2022,0.92082628,,
11/19/2022,0.92082628,,
11/20/2022,0.92082628,,
11/21/2022,0.92082382,,
11/22/2022,0.92082341,,
11/23/2022,0.92082341,,
11/24/2022,0.92082341,,
11/25/2022,0.92082320,,
11/26/2022,0.92082320,,
11/27/2022,0.92082320,,
11/28/2022,0.92082349,,
11/29/2022,0.92082375,,
11/30/2022,0.92082410,0.00035547,0.00786838
12/1/2022,0.92082508,,
12/2/2022,0.92046869,,
12/3/2022,0.92046869,,
12/4/2022,0.92046869,,
12/5/2022,0.92046873,,
12/6/2022,0.92046884,,
12/7/2022,0.92046884,,
12/8/2022,0.92046855,,
12/9/2022,0.92046898,,
12/10/2022,0.92046898,,
12/11/2022,0.92046898,,
12/12/2022,0.92046911,,
12/13/2022,0.92046966,,
12/14/2022,0.92047028,,
12/15/2022,0.92047091,,
12/16/2022,0.92047091,,
12/17/2022,0.92047091,,
12/18/2022,0.92047091,,
12/19/2022,0.92047049,,
12/20/2022,0.92047016,,
12/21/2022,0.92047113,,
12/22/2022,0.92047113,,
12/23/2022,0.92047113,,
12/24/2022,0.92047113,,
12/25/2022,0.92047113,,
12/26/2022,0.92047113,,
12/27/2022,0.92047143,,
12/28/2022,0.92047032,,
12/29/2022,0.92047032,,
12/30/2022,0.92047116,,
12/31/2022,0.92047116,0.00037557,0.00912454
