date,ounces_per_share,per_share_ounces_sold_to_cover_expenses,proceeds_per_share
12/4/2022,0.01900013,,
12/5/2022,0.01900013,,
12/6/2022,0.01897531,,
12/7/2022,0.01897531,,
12/8/2022,0.01897531,,
12/9/2022,0.01897531,,
12/10/2022,0.01897531,,
12/11/2022,0.01897531,,
12/12/2022,0.01897531,,
12/13/2022,0.01897531,,
12/14/2022,0.01897531,,
12/15/2022,0.01897531,,
12/16/2022,0.01897531,,
12/17/2022,0.01897531,,
12/18/2022,0.01897531,,
12/19/2022,0.01897531,,
12/20/2022,0.01897531,,
12/21/2022,0.01897531,,
12/22/2022,0.01897531,,
12/23/2022,0.01897531,,
12/24/2022,0.01897531,,
12/25/2022,0.01897531,,
12/26/2022,0.01897531,,
12/27/2022,0.01897531,,
12/28/2022,0.01897531,,
12/29/2022,0.01897531,,
12/30/2022,0.01897531,,
12/31/2022,0.01897531,0.00000393,0.00724784
